Year,State,City,Latitude,Longitude,State2,loc_year,loc_id
2018,AL,Belle Mina,34.68912,-86.88584,AL,AL_2018,loc_1
2019,AL_1,Brewton,31.142301,-87.049151,AL1,AL1_2019,loc_2
2019,AL_2,Shorter,32.421669,-85.885667,AL2,AL2_2019,loc_3
2018,AZ,Safford,32.81608,-109.68017,AZ,AZ_2018,loc_4
2019,AZ,Safford,32.816082,-109.680171,AZ,AZ_2019,loc_5
2018,CA,Calflax,36.34222,-120.10970,CA,CA_2018,loc_6
2019,CA,Calflax,36.34222,-120.1094,CA,CA_2019,loc_7
2018,LA,Alexandria,31.17166,-92.40730,LA,LA_2018,loc_8
2019,LA,Alexandria,31.17166,-92.40730,LA,LA_2019,loc_9
2018,MS,Brooksville,33.25782,-88.53936,MS,MS_2018,loc_10
2019,MS,Brooksville,33.25782,-88.53936,MS,MS_2019,loc_11
2018,OK,Perkins,35.98951,-97.01522,OK,OK_2018,loc_12
2019,OK,Perkins,35.98951,-97.01522,OK,OK_2019,loc_13
2018,SC,Florence,34.31058,-79.74466,SC,SC_2018,loc_14
2019,SC,Florence,34.31032,-79.74549,SC,SC_2019,loc_15
2018,TN,Jackson,35.62181,-88.84499,TN,TN_2018,loc_16
2019,TN_1,Jackson,35.62186,-88.84504,TN1,TN1_2019,loc_17
2019,TN_2,Jackson,35.63152,-88.85062,TN2,TN2_2019,loc_18
2018,TX,College Station ,30.50974,-96.41790,TX,TX_2018,loc_19
2019,TX,New Deal,33.744442,-101.728167,TX2,TX2_2019,loc_20
2019,TX,College Station ,30.50974,-96.41790,TX,TX_2019,loc_21
2018,VA,Suffolk,36.6632972,-76.735938,VA,VA_2018,loc_22
