Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,-4.8,5.6,16.1,0.6,0.28,12
1/2/81,0,-4.2,7.4,19,-0.4,0.05,15.55
1/3/81,0,-4.8,4.9,14.6,-3.7,0.47,11.91
1/4/81,0,-4.9,6.4,17.7,-0.7,0.46,14.53
1/5/81,0,-4.1,5.4,14.9,-7.8,1.33,11.58
1/6/81,0,-3.9,2.5,9,-11.2,1.87,9.07
1/7/81,17.81,-0.1,6.6,13.4,1.9,0.52,7.07
1/8/81,0,-4.9,3,11,-1.5,0.44,7.11
1/9/81,0,-4.3,3.9,12.1,-5.5,0.56,11.36
1/10/81,0,-3,4.2,11.3,-3.2,0.72,8.65
1/11/81,0,-8.2,0.3,8.8,-8.3,0.33,8.03
1/12/81,0,-9,-0.2,8.6,-11.7,0.91,9.11
1/13/81,0,-12.6,-4.3,4.1,-14.9,0.38,6.58
1/14/81,0,-12.3,-0.7,10.9,-7.9,0.63,10.47
1/15/81,0,-5.6,5,15.6,2.2,0,9.49
1/16/81,0,-2.9,7.4,17.7,-0.1,0.1,14.49
1/17/81,0,-4.5,3.7,12,-5.9,0.76,8.94
1/18/81,0,-7,0.2,7.4,-11.6,1.18,7.93
1/19/81,0,-6.1,3.4,12.9,-11.9,1.38,12.9
1/20/81,1.96,-5.6,5.3,16.2,-5,0.37,15.64
1/21/81,2.87,-2.3,5.8,14,4.1,0,4.25
1/22/81,0,2.9,4.6,6.3,1.7,0.61,2.85
1/23/81,0,-1.7,3.6,9,1.6,0.14,4.75
1/24/81,0,-4.6,3,10.6,0.1,0,5.79
1/25/81,0,-4,6.2,16.5,0.4,0.12,12.49
1/26/81,0,-3.6,8.2,20.1,3.1,0.2,15.89
1/27/81,0,0.9,10.8,20.8,7.8,0,13.49
1/28/81,8.62,6.5,14,21.5,10.8,0.47,13.46
1/29/81,0,-2.9,7.6,18,-0.3,0,15.27
1/30/81,0,-3,8.9,20.7,2.2,0.59,17.97
1/31/81,0,4.6,13.4,22.2,6.9,1.12,14.16
2/1/81,0,3.6,8.6,13.6,2,1.25,6.43
2/2/81,30.2,-0.7,10.2,21,7.9,0.49,7.92
2/3/81,0,-8.5,0.1,8.6,-8.2,0.73,7.52
2/4/81,0,-8.3,-0.2,7.8,-10.1,0.68,8.24
2/5/81,0,-5.6,3.9,13.4,-5.7,0.6,11.48
2/6/81,36.17,-4.9,2.7,10.3,-4.9,0.47,9.47
2/7/81,3.78,3.3,6.4,9.4,5.1,0.47,2.26
2/8/81,0,6.6,9.5,12.5,8.3,0.23,3.26
2/9/81,0,-3,6.5,16.1,0.5,0.54,11.47
2/10/81,6.67,-0.3,8.5,17.3,-0.3,1.35,13.94
2/11/81,183.69,5.7,12,18.3,11.8,0.46,3.63
2/12/81,0,-8.4,0.1,8.5,-8.9,0.83,5.33
2/13/81,0,-8.4,-1.1,6.1,-11.1,1.2,6.77
2/14/81,0,-1.2,3.2,7.5,-4.2,2.17,5.57
2/15/81,0,5.2,11.4,17.6,2.9,2.38,12.65
2/16/81,0.79,9.5,13.8,18.1,9.7,1.37,8.82
2/17/81,2.77,12.3,16.1,20,13,0.43,7.55
2/18/81,1.63,15,19,22.9,15.5,0.71,8.73
2/19/81,0.59,9.1,16.1,23.1,13.4,0.33,14.55
2/20/81,0,8.3,15.5,22.7,12,0,12.56
2/21/81,0,1.5,13,24.6,4.3,0.05,24.92
2/22/81,0,3.3,15.4,27.6,7.9,0.71,28.94
2/23/81,2.04,1.7,10.5,19.2,8.8,0.25,8.91
2/24/81,0,-0.6,9.5,19.6,-0.3,0.31,17.72
2/25/81,0,0.6,11.5,22.3,1.1,0.18,21.19
2/26/81,0,0.8,12.5,24.2,4.3,0.01,23.01
2/27/81,0,4,15.1,26.2,5.7,0.59,26.24
2/28/81,0,4.2,16,27.8,5.7,0.05,29.31
3/1/81,0,5.9,15.8,25.7,10,0.36,24.02
3/2/81,0,9.5,16.4,23.4,13,0.62,14.38
3/3/81,0,1.6,11.4,21.2,3.4,0.66,17.36
3/4/81,0,2,11.9,21.7,3.8,1.04,19.01
3/5/81,34.32,10.9,16.3,21.7,12.4,0.35,11.79
3/6/81,0,2.5,13.3,24.1,7.3,0.63,19.33
3/7/81,0,3.6,11.5,19.5,1.4,1.25,15.73
3/8/81,0,3.6,9.6,15.6,0.3,1.58,11.27
3/9/81,0,-0.1,9.5,19.1,-0.8,0.56,15.89
3/10/81,0,-1.2,9.1,19.5,-0.7,0.04,16.12
3/11/81,0,0.8,8.6,16.4,1.1,0.77,11.83
3/12/81,0,0.4,10.5,20.6,0.5,0.64,18.55
3/13/81,0,1.8,11.5,21.2,0.3,0.93,20.09
3/14/81,2.29,1.3,9.7,18.2,3.6,0.21,13.29
3/15/81,0,-0.2,11.3,22.8,-0.2,0.61,20.47
3/16/81,1.74,0.4,11.9,23.3,6.9,0.85,20.71
3/17/81,0,-2.2,9.2,20.6,-0.5,0.95,18.45
3/18/81,0.05,1,12.1,23.2,3.3,1.5,22.95
3/19/81,8.66,1.3,12.3,23.3,6.9,1.43,16.14
3/20/81,0,-1.3,7.2,15.6,-5.4,1.07,14.12
3/21/81,0,1.1,9.7,18.4,-1.7,0.82,16.38
3/22/81,43.26,5.3,13,20.7,6.9,0.8,16.2
3/23/81,22.7,7.2,15.5,23.8,8.6,0.8,15.47
3/24/81,0,0.7,7.2,13.8,2.6,0.37,7.59
3/25/81,0,0.1,9.8,19.4,2.1,0.23,15.54
3/26/81,0,0.1,10.6,21.2,1.6,0,19.52
3/27/81,0,2.1,13,23.9,3.2,0.46,23.5
3/28/81,0,2.2,13.1,24.1,7.3,0,21.92
3/29/81,0,6.1,14.4,22.6,11.2,0.59,14.18
3/30/81,37.78,10.5,16.7,22.9,14.4,0.79,13.04
3/31/81,0,12.6,20.2,27.8,12.1,0.55,26.31
4/1/81,0,14.5,21.5,28.6,17.8,0.54,19.42
4/2/81,0,4.5,14.4,24.3,12,1.24,14.58
4/3/81,0,8.1,18.3,28.4,6.4,0.63,33
4/4/81,0,12.5,20.8,29.1,11.4,1.86,29.82
4/5/81,8.74,14.6,20.8,26.9,17,1.06,15.93
4/6/81,2.19,2.5,12.7,22.8,6.2,0.88,18.62
4/7/81,0,2.9,12.6,22.2,2.6,0.01,20.51
4/8/81,0,7.6,16.7,25.7,6.1,0.78,25.59
4/9/81,0,9.7,17.5,25.2,12.6,0.01,17.13
4/10/81,0,12.1,19.8,27.5,14.4,0.22,20.62
4/11/81,0,13.9,22.1,30.3,14,0.71,28.91
4/12/81,0,10.7,19.9,29.1,14.7,0.11,25.94
4/13/81,0,12.2,20.6,29.1,15.5,0,21.89
4/14/81,0,13.5,22.2,30.9,15.3,0.4,28.66
4/15/81,0,14.5,22.9,31.4,14.6,1.35,30.13
4/16/81,0,14.1,23.2,32.3,13.4,2.72,34.53
4/17/81,0,13.3,19.5,25.7,14.9,0.02,14.74
4/18/81,0,17.2,23.7,30.2,16.5,1.07,26.44
4/19/81,0,15,22.9,30.8,15.7,0.82,28.02
4/20/81,0,15.4,22.8,30.2,16,0.72,26.05
4/21/81,3.88,15.7,23.8,31.8,17,1,29.51
4/22/81,0,14.2,21.8,29.4,14.3,1.41,24.33
4/23/81,0,14,20.1,26.2,16.7,0.14,14.25
4/24/81,11.79,15.1,23.1,31.1,17.7,0.33,27.94
4/25/81,0,6.5,15.4,24.3,9.3,0.12,20.03
4/26/81,0,11.6,17.8,23.9,9.3,1.6,19.1
4/27/81,0,8.4,18.7,29,10.5,0.38,29.33
4/28/81,0,9.3,20.3,31.2,12.9,0,32.98
4/29/81,0,14.9,22.3,29.6,15.9,0.58,25.46
4/30/81,0.89,16.5,22.8,29.1,18.9,0.4,18.22
5/1/81,0,14.1,23.3,32.6,18.1,0,28.71
5/2/81,0,5.1,18.6,32.1,12.2,0,33.34
5/3/81,0,7,16.8,26.6,6.3,0.43,26.61
5/4/81,0,7.2,18.5,29.8,10.5,0,30.85
5/5/81,0,13.9,21.4,28.8,15.1,0.01,23.18
5/6/81,25.14,13.3,20,26.7,16.3,0.02,17.85
5/7/81,0.46,12.3,16.4,20.5,15.9,0,5.12
5/8/81,0,14.3,19.6,24.9,15,0.84,13.06
5/9/81,0,14.3,20.9,27.6,13.1,1.5,21.6
5/10/81,0,12,20.1,28.2,14.5,0.5,20.88
5/11/81,0,8.9,18.5,28,14.2,0.4,19.63
5/12/81,0,6.9,15.1,23.4,9.2,0.37,16.52
5/13/81,0,6.1,16.3,26.6,9.7,0,24.16
5/14/81,0,9.2,19.6,30,12.3,0.05,29.82
5/15/81,0,10.3,19.8,29.2,15.1,1,22.31
5/16/81,0,10.2,18.4,26.7,8.9,1.78,24.86
5/17/81,0,10.5,17.2,23.9,11.5,0.12,17.32
5/18/81,0,10.8,21.7,32.7,14.4,0,34.5
5/19/81,35.91,15.8,24.4,33.1,18.5,0.02,32.55
5/20/81,57.24,15.9,19.3,22.8,17.7,0.52,6.5
5/21/81,0,8.3,13.3,18.3,12.5,0.01,5.27
5/22/81,0,8.7,17.1,25.6,11.9,0.49,18.29
5/23/81,0,11.3,20.8,30.3,11.8,0.29,31.25
5/24/81,0,10.4,19.9,29.4,14.6,0,24.78
5/25/81,0,13,21.2,29.4,16.3,0,23.31
