Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,-1.5,7.9,17.3,0,0.68,12.91
1/2/81,0,-2.8,5.3,13.5,-1.2,0.49,8.95
1/3/81,0,-3.4,3.9,11.3,-4.5,0.8,8.96
1/4/81,0,-3,7.1,17.2,-1.7,1,13.95
1/5/81,0,-6.8,-0.6,5.5,-11.6,1.28,6.28
1/6/81,0,-6.4,-0.8,4.9,-11.5,1.59,6.38
1/7/81,15.12,0.8,3.4,6,-0.1,0.66,4.41
1/8/81,0,-6.1,0.7,7.6,-4.1,0.61,5.34
1/9/81,0,-5.5,2.1,9.7,-5.5,0.72,8.15
1/10/81,0,-3.5,4.9,13.2,-3.4,0.95,9.25
1/11/81,0,-7.5,-1.8,3.9,-8.9,0.65,4.91
1/12/81,0,-10.5,-4.2,2.2,-11.1,0.84,4.13
1/13/81,0,-10.5,-4.5,1.4,-13.7,0.7,4.73
1/14/81,0,-7.9,2.2,12.4,-6.7,1.01,10.75
1/15/81,0,-3.3,6,15.3,-0.2,0.54,9.23
1/16/81,0,-3.8,3.8,11.4,-3,0.51,7.73
1/17/81,0,-6.8,0.5,7.7,-7.8,0.8,6
1/18/81,0,-8.6,-2.4,3.7,-11.2,0.74,5.25
1/19/81,0,-7.4,1.9,11.1,-9.6,0.91,10.4
1/20/81,3.81,-3.7,5.4,14.5,-4.7,0.99,13.36
1/21/81,15.82,2.4,4,5.5,2.9,0.26,1.61
1/22/81,0,2.9,3.9,4.9,2.6,0.34,1.2
1/23/81,0,1.1,4.1,7.1,2.4,0.28,2.29
1/24/81,0,-1.9,5.1,12.1,0.7,0.26,6.89
1/25/81,0,-0.9,8,16.8,1,0.44,12.55
1/26/81,0,2.9,11.5,20.1,4.9,1.06,14.4
1/27/81,0,9.2,14.4,19.7,8.3,2.14,10.87
1/28/81,0,-0.7,7.4,15.6,5.1,0.71,7.12
1/29/81,0,-1.1,7.7,16.4,-1,0.59,13.4
1/30/81,0,-0.5,9.6,19.6,3,0.68,15.51
1/31/81,0,1.9,7.4,12.9,2.1,1.06,4.49
2/1/81,0,3.3,7.5,11.6,1.5,1.25,5.8
2/2/81,34.19,-2.4,5.6,13.7,3.1,0.64,3.08
2/3/81,0,-9,-3.5,2,-10,0.7,4
2/4/81,0,-8.4,-2,4.5,-8.6,0.63,5.22
2/5/81,0,-5.4,1.1,7.7,-6.9,0.75,6.37
2/6/81,0,-4.5,-0.2,4.2,-6.3,1.04,5.19
2/7/81,0,1.9,6.8,11.7,1.6,0.72,6.42
2/8/81,0,4.2,8.2,12.2,6,0.55,4.34
2/9/81,0,-4.3,3.3,11,-3.8,0.87,8.32
2/10/81,30.09,-1.4,5.5,12.4,-1.5,0.96,9.25
2/11/81,9.68,-5.4,4.5,14.5,4.5,0.57,3.13
2/12/81,0,-11.5,-6.7,-2,-13.9,0.85,3.17
2/13/81,0,-10.5,-3.8,2.9,-12.6,0.97,5.18
2/14/81,0,-3.2,2.4,8,-6.4,1.63,6.93
2/15/81,0,2.6,7.7,12.8,-0.1,1.97,8.13
2/16/81,4.01,7.1,11.4,15.7,7.8,1.45,7.11
2/17/81,3.12,10.6,13.1,15.5,11.8,0.28,2.84
