Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,2.7,12,21.3,2.1,1.31,17.78
1/2/81,0,4.8,12.9,20.9,-0.3,2.87,19.16
1/3/81,0,3,10.2,17.5,0.3,0.56,14.6
1/4/81,0,2.5,11.4,20.2,5.8,0.23,11.97
1/5/81,0,1.5,7,12.4,-1.3,1.82,8.43
1/6/81,5.66,2.2,7.7,13.1,2.7,0.33,8.29
1/7/81,5.46,3.1,8.9,14.8,8,0.17,4.1
1/8/81,0,1.2,7.6,14,0.4,0.57,10.18
1/9/81,0.03,2,9.2,16.4,4.6,0.45,11.8
1/10/81,0,7.5,11.1,14.7,7.8,0.41,5.44
1/11/81,0,7.5,11.1,14.8,4.4,1.64,8.47
1/12/81,0,1.3,7.8,14.3,1.1,1.65,8.7
1/13/81,0,-1,4.7,10.5,-2.1,0.66,7.39
1/14/81,0,-0.8,6.7,14.1,4,0.34,8.32
1/15/81,0,1.6,9,16.4,-0.3,0.43,13.09
1/16/81,0,0.9,8.4,15.8,-2.4,1.38,13.73
1/17/81,0,0.5,6.2,11.9,-3.1,1.69,8.65
1/18/81,0,0.2,3.8,7.4,-9.3,2.95,7.58
1/19/81,10.39,2.2,5.4,8.6,-5.6,1.09,8.23
1/20/81,45.87,1.9,2.9,3.9,2.8,0,0.53
1/21/81,0,0.3,5.6,11,3.1,0.01,4.82
1/22/81,0,1.3,6.2,11.1,2.7,0.1,5.29
1/23/81,0,1.4,6.9,12.4,2.3,0.36,6.59
1/24/81,0,1,10,19,1.5,0.39,15.37
1/25/81,0,2.9,13.1,23.3,3.7,0.96,21.72
1/26/81,0,7.8,15.2,22.6,9.3,0.32,16.32
1/27/81,0,11.3,16,20.7,12.2,0.38,8.43
1/28/81,0,4.7,12.4,20.1,4.2,0.93,16.21
1/29/81,0,5.1,13,20.8,10.4,0.19,11.36
1/30/81,0,9.3,16.3,23.2,13,0.26,12.58
1/31/81,0,5.9,9.2,12.6,3.2,1.57,6.75
2/1/81,1.13,7.4,11.9,16.5,11.1,0.3,3.89
2/2/81,0,-1,5.4,11.8,-1.7,1.55,7.67
2/3/81,0,-3.7,2.2,8,-7.7,0.96,7.67
2/4/81,5.88,-2.1,5.8,13.7,-1.5,1.01,10.83
2/5/81,10.51,5.1,7.9,10.7,6.2,0.07,2.93
2/6/81,6.36,3.8,5.3,6.7,4.8,0,1.11
2/7/81,0,4.4,6.6,8.8,6.6,0,1.1
2/8/81,0,6.1,13,19.8,8.6,0.15,10.38
2/9/81,0,5.3,10,14.6,6.4,0.22,6.67
2/10/81,8.44,9.1,14,18.8,13.5,0.18,5.14
2/11/81,0,-8.5,7,22.5,-0.6,0.36,14.91
2/12/81,0,-8.2,-3.9,0.5,-12.3,1.01,4
2/13/81,0,-4.2,2.1,8.3,-8.9,1.66,8.33
2/14/81,0,2.8,6.7,10.6,-4,2.88,8.82
2/15/81,0,0.6,8.3,16.1,-0.6,1.07,11.89
