Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,-0.1,5,10.2,2.3,0.14,4.54
1/2/81,0,-1.2,7,15.3,-0.4,0.46,11.38
1/3/81,0,-3.9,3,10,-4.9,0.54,8.15
1/4/81,0,-1,6.6,14.3,-4.6,1.25,12.54
1/5/81,0,-10.8,-1.8,7.3,-13.8,1.27,6.54
1/6/81,0,-10.7,-4,2.6,-13.4,0.47,5.32
1/7/81,4.11,-6.7,1.1,8.8,-2.8,0.4,6.76
1/8/81,0,-4.7,2.6,9.9,-2.5,0.42,6.32
1/9/81,0,-6,-0.7,4.7,-8.7,0.94,5.24
1/10/81,0,-6.1,-0.7,4.6,-8.3,0.94,5.37
1/11/81,0,-8.5,-1.8,4.9,-12.1,1.04,6.1
1/12/81,0,-10.3,-4.2,1.9,-14.5,1.09,4.98
1/13/81,0,-11.9,-7,-2.1,-16.2,0.49,3.7
1/14/81,0,-9.6,-1.9,5.9,-12.3,0.9,6.98
1/15/81,0,-0.6,5.3,11.1,-2.5,1.8,8.89
1/16/81,0,-1.9,6.5,14.9,-1.5,0.98,11.24
1/17/81,0,-4.2,3.6,11.5,-5.8,0.93,7.92
1/18/81,0,-7.8,-1.7,4.4,-13.2,1.06,6.13
1/19/81,0,-5.5,3.1,11.6,-11.6,1.53,11.27
1/20/81,0,-2.7,5.8,14.3,-6.4,1.3,12.73
1/21/81,14,1,5.9,10.7,0.5,0.47,7.37
1/22/81,0,-1.4,2.6,6.5,2.5,0.04,1.49
1/23/81,0,-0.9,5.5,11.8,1.4,0.25,5.95
1/24/81,0,-1.9,5.1,12.2,-1.4,0.49,8.35
1/25/81,0,-3.2,4.8,12.8,-3.2,0.58,9.72
1/26/81,0,-2.7,7.2,17.1,-2.3,0.71,14.36
1/27/81,0,0.1,8.9,17.7,1.3,0.91,13.77
1/28/81,4.42,8.4,13.8,19.1,8.3,0.47,10.7
1/29/81,0,-1.9,6.2,14.2,-0.2,0.5,10.71
1/30/81,0,-0.7,8.2,17,-3.2,1.18,14.46
1/31/81,0.88,-8.3,-1.1,6.2,-6.1,0.36,5.36
2/1/81,0,-6.4,-0.6,5.1,-9.9,0.88,6
2/2/81,13.51,-2.5,8.1,18.8,7,0.66,9.51
2/3/81,1.55,-4.8,3.6,12,-6.1,0.92,9.27
2/4/81,0,-8.1,-2.4,3.4,-12.7,0.86,5.5
2/5/81,0,-7.2,-0.8,5.6,-11,0.78,6.2
2/6/81,0,-5.3,-0.3,4.7,-10.9,1.57,6.21
2/7/81,0,-1.2,3.8,8.9,-2.5,0.59,5.93
2/8/81,2.05,2,4.4,6.8,3.7,0.21,1.54
2/9/81,0.75,-4.3,4.6,13.4,-0.5,0.2,8.13
2/10/81,0,-3.3,3.6,10.5,-7.2,1.65,9.95
2/11/81,19.8,4.1,12.3,20.5,9.8,0.62,10.33
2/12/81,11.69,-6.4,6.6,19.6,-0.6,0.59,7.7
2/13/81,0,-6.3,-1.6,3.2,-14.7,1.9,5.78
2/14/81,0,-4,2.4,8.7,-6.4,1.89,6.63
2/15/81,0,1.9,8.1,14.3,-0.2,1.87,9.45
2/16/81,0,4.4,11.5,18.6,3.5,1.51,12.02
2/17/81,0,5.7,13.4,21.2,7.1,1.08,15.17
2/18/81,0,9,15,21.1,9.9,0.87,12.32
2/19/81,2.99,11.5,15.2,18.9,11.2,0.55,8.38
