Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,-1.6,6.3,14.3,0.4,0.15,9.51
1/2/81,0,-3.9,1.6,7.2,-1.5,0.18,3.94
1/3/81,0,-2.6,3.1,8.8,-5.6,1.12,7.85
1/4/81,0,-7.7,2.5,12.7,-4.7,1.03,8.89
1/5/81,0,-11.8,-6.6,-1.3,-14.5,0.76,3.27
1/6/81,0,-9.3,-3.4,2.6,-10.5,0.94,4.46
1/7/81,16.79,-1.6,0.1,1.8,-0.8,0.21,2.85
1/8/81,0,-7.8,-3.5,0.9,-8.2,0.54,3.44
1/9/81,0,-6.5,0.5,7.4,-5.4,0.61,5.42
1/10/81,0,-6,-1.8,2.5,-6.4,0.75,2.72
1/11/81,0,-10.4,-5.1,0.2,-8.8,0.29,2.57
1/12/81,0,-13.9,-7.9,-1.9,-12,0.36,2.15
1/13/81,0,-11.9,-5.7,0.4,-11.9,0.41,3.69
1/14/81,0,-4.5,2.5,9.5,-3.1,0.6,5.99
1/15/81,0,-5.3,2.5,10.4,-2.6,0.38,7.19
1/16/81,0,-5.7,-0.2,5.2,-4,0.34,3.89
1/17/81,0,-10.6,-5.1,0.5,-9.1,0.28,2.78
1/18/81,0,-8.7,-4.3,0.1,-10.5,0.6,3.36
1/19/81,0,-5.2,1.6,8.5,-7.5,1.26,7.32
1/20/81,0.3,-1,5.2,11.4,-3.8,1.37,9.32
1/21/81,8.62,1.6,3.4,5.1,2.1,0.12,1.63
1/22/81,0,1.8,3.4,5,2.3,0,1.22
1/23/81,0,-1.8,2.6,6.9,0.8,0,2.85
1/24/81,0,-2.6,4.4,11.5,0.1,0.09,6.16
1/25/81,0,0,8.6,17.2,1.4,0.5,12.53
1/26/81,0,3.6,11.9,20.2,5.4,1.08,16.47
1/27/81,0.83,3.9,10.5,17.1,5.7,0.65,10
1/28/81,0,-3.2,4.3,11.8,-0.1,0.56,7.13
1/29/81,0,-2,6.2,14.5,-2.2,0.5,11.54
1/30/81,12.98,-1.5,2.9,7.4,-1.3,0.26,4.48
1/31/81,0,-4.7,-1.7,1.3,-4.3,0.54,1.73
2/1/81,29.15,-3.7,2.7,9,0.8,0.26,4.62
2/2/81,13.73,-5.9,0.6,7.2,-0.8,0.27,2.14
2/3/81,0,-10.1,-6.3,-2.6,-11.3,0.59,2.61
2/4/81,0,-9.6,-5,-0.4,-9.3,0.34,2.65
2/5/81,0,-9.9,-4.6,0.7,-9.3,0.17,3.12
2/6/81,0,-7.5,-1.5,4.4,-8.2,0.95,5.7
2/7/81,0,-4.9,2,9,-2.5,0.29,6.39
2/8/81,4.3,-2.1,2.6,7.2,2,0.21,2.66
2/9/81,0,-6.7,-1.9,3,-7.8,0.67,4.48
2/10/81,6.47,-3.1,3.2,9.5,-2.3,1,6.97
2/11/81,11.71,-12.1,0.7,13.4,0.7,0.35,3.5
2/12/81,0,-14.2,-11.6,-9,-15.9,0.28,1.62
2/13/81,0,-12,-6.9,-1.7,-12.4,0.59,2.71
2/14/81,0,-6.7,0.1,6.8,-7.1,0.39,6.93
2/15/81,0,-3.8,4.3,12.4,-1.4,0.73,8.18
2/16/81,0.52,3.1,9.6,16.1,6.6,0.86,8.85
