Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,0.2,9.1,18,-3.6,1.87,15.54
1/2/81,0,-0.4,8.5,17.3,-1.5,1.26,14.12
1/3/81,0,-1,8.2,17.3,-0.5,1,13.34
1/4/81,0,-3.2,5.6,14.3,-2.8,0.96,10.86
1/5/81,0,-3.8,4.6,13.1,-2.4,0.79,9.62
1/6/81,0,2.3,7,11.6,3.3,0.42,5.41
1/7/81,0,-4.9,3.7,12.4,-5,0.92,9.83
1/8/81,0,-4.8,4.9,14.6,-2.7,0.83,11.89
1/9/81,0.79,0.5,5.6,10.6,1.5,0.44,6.03
1/10/81,0,0.6,7,13.5,1.7,0.31,6.89
1/11/81,0,-0.2,3.7,7.7,2.5,0,2.75
1/12/81,0,-4.5,1.8,8,-3.8,0.46,5.87
1/13/81,0,-5,3.6,12.2,-2.6,0.42,9.31
1/14/81,0,-2.7,6.5,15.8,-3,0.41,12.48
1/15/81,0,-4.2,5.1,14.5,-7.3,1.44,12.88
1/16/81,0,-4.5,4.9,14.2,-5.5,1.18,12.15
1/17/81,0,-5.5,-1.2,3.1,-6.6,0.97,3.16
1/18/81,3.51,-5.1,-2.3,0.6,-6.3,0.43,2.88
1/19/81,0,-2.8,-1.3,0.2,-3.2,0.38,1.28
1/20/81,0,-1.9,2,5.9,-0.8,0.43,2.17
1/21/81,0,-3,4.8,12.6,-2.5,0.62,9.4
1/22/81,0,-5.2,2.4,9.9,-4.8,0.58,7.8
1/23/81,0,-5.4,4.8,14.9,-7,0.85,13.6
1/24/81,0,-3.4,8.5,20.4,-5.2,1.14,20.05
1/25/81,0,-0.2,11.9,24,-4.3,1.51,26.18
1/26/81,0,2.3,8.4,14.4,-3.4,2.44,11.39
1/27/81,0,-2.8,6.3,15.3,-5.9,1.29,13.95
1/28/81,0,-2.1,8,18,-5.9,1.33,17.94
1/29/81,0,-1.7,10.2,22.2,-3.9,1.57,22.25
1/30/81,0,-6.2,6.2,18.7,-5.7,0.43,17.83
1/31/81,0,-4.7,1.2,7.1,-3.4,0.25,5.02
2/1/81,0,-6.8,3.3,13.4,-7,0.24,12.06
2/2/81,0,-9,-1.1,6.7,-10,0.74,6.73
2/3/81,0,-10.2,-1.6,7.1,-9.9,0.6,6.91
2/4/81,0,-5.6,4.2,13.9,-5.3,0.88,11.71
2/5/81,0,-3,-0.7,1.5,-4.7,0.34,2.71
2/6/81,0,-5.8,1.1,8,-2.3,0.06,4.52
2/7/81,0,-5.2,3.1,11.5,0,0.11,6.27
2/8/81,0,-2.4,5.4,13.2,-5,0.49,11.42
2/9/81,0,0.1,9.5,18.8,-5.8,0.86,18.55
2/10/81,2.47,3,8.2,13.4,4,0.79,6.98
2/11/81,0,-15.1,-5.3,4.4,-12.9,0.37,2.03
2/12/81,0,-14.7,-6.1,2.5,-14.2,0.68,5.15
2/13/81,0,-5.8,3.1,12,-8.5,1.07,10.15
2/14/81,0,-5,5.6,16.3,-6.5,1.05,14.82
2/15/81,0,-3.1,6.8,16.8,-1.8,0.43,14.47
2/16/81,0,0.3,9.2,18.1,1.1,0.5,13.74
2/17/81,0,-0.9,9.9,20.6,0.9,0.49,17.14
2/18/81,0,0.3,11.3,22.4,4.6,0.34,18.63
2/19/81,0,0.9,10.1,19.3,-1.3,0.81,16.14
2/20/81,0,1.3,14.2,27,-2.9,2.27,30.51
2/21/81,0,4.6,16,27.3,-1.9,3.54,31.21
2/22/81,0,-0.6,6.2,13,-2,1.23,9.42
2/23/81,0,-1.8,7,15.7,-8.7,1.48,14.74
2/24/81,0,-1.6,10.5,22.5,-8.3,2.65,23.56
2/25/81,0,2,13.3,24.6,-4.2,2.48,26.89
2/26/81,0,3.2,15.3,27.4,2.2,1.72,30.07
2/27/81,0,8.6,16.1,23.6,6.2,1.58,20.15
2/28/81,20.16,8.7,12.2,15.7,8.7,0.28,7.47
3/1/81,0.54,6.6,8.9,11.2,7.6,0.31,2.17
3/2/81,0,4.3,9.2,14.1,7.1,0.17,4.03
3/3/81,0.38,5.1,9,12.9,8.4,0.46,3.19
3/4/81,3.79,5.1,10.4,15.7,6.3,0.55,8.11
3/5/81,0,0.5,8.1,15.7,-0.5,0.94,12.66
3/6/81,0,0.1,6.7,13.4,0.9,0.46,9
3/7/81,4.45,1.4,8.2,15,4.7,0.1,7.96
3/8/81,5,-1.5,7.2,15.9,-0.1,0.58,12.31
3/9/81,0.63,-1.3,2,5.3,-1.4,0.54,3.1
3/10/81,1.75,1,7,13,2.5,0.19,7.88
3/11/81,0.65,5.6,8.9,12.3,6.2,0.28,4.92
3/12/81,0,6.3,9,11.7,5.4,0.35,5.26
3/13/81,0,2.1,7.5,12.8,4.4,0.27,6.5
3/14/81,7.58,1.9,9.9,17.8,5.2,0.44,11.63
3/15/81,2.87,3.4,10.9,18.4,5,0.26,10.83
3/16/81,0,3.9,11.6,19.4,0.7,1.55,16.93
3/17/81,0,4.6,11.8,18.9,0.5,2.28,16.33
3/18/81,0,3,12.9,22.7,-4.6,2.4,23.95
3/19/81,0,-1.3,6,13.3,-7.7,2.14,11.75
3/20/81,0,-1.7,7.9,17.4,-5.2,1.88,15.84
3/21/81,0,5.7,12,18.3,0,4.01,14.35
3/22/81,0,3.2,10.7,18.2,-2.7,1.79,17.16
3/23/81,0,-0.3,7.5,15.3,-0.8,1.03,11.27
3/24/81,0,-0.3,9.2,18.8,0.7,0.9,15.21
3/25/81,0,5,13.4,21.9,1,2.34,20.57
3/26/81,0,2.1,8.4,14.7,2.6,0.62,8.7
3/27/81,0,3,13.9,24.8,4.2,0.67,24.94
3/28/81,6.18,10.9,19.2,27.5,9.9,1.03,27.73
3/29/81,0,4,11.2,18.3,-3.7,3.52,17.62
3/30/81,0,3.8,12.7,21.7,-3,3.17,21.57
3/31/81,0,6.3,17.2,28.1,-2.6,4.78,33.14
4/1/81,0,2,12.3,22.7,-8.2,4.04,24.53
