Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/81,0,1.5,10.8,20,-3.6,2.68,18.24
1/2/81,0,1.7,11.9,22.2,-3,2.49,21.59
1/3/81,0,1.7,10.8,20,-1.2,2.11,17.03
1/4/81,0,-1,9,19,-1.7,0.93,16.05
1/5/81,0,1.8,10.3,18.9,-1.4,2.3,15.85
1/6/81,0,1.7,10.3,19,-1,1.9,15.36
1/7/81,1.99,1.8,10.5,19.3,-2.7,1.46,17.74
1/8/81,0,5.5,9.2,12.8,2.5,1.92,7.49
1/9/81,0,0.5,8.8,17.2,1.4,0.82,13.03
1/10/81,0,1.6,10.4,19.3,-0.3,1.58,16.33
1/11/81,0.3,7.5,12.6,17.7,1.3,4.58,13.07
1/12/81,5.8,6.5,9.7,12.8,3.7,1.38,7.85
1/13/81,7.65,6,7.5,8.9,4.9,0.86,2.64
1/14/81,0,0.8,6.8,12.8,4.5,0,5.6
1/15/81,0,2.1,9.9,17.7,1.6,0.57,13.54
1/16/81,0,0.6,8.9,17.2,1.5,0.59,13.17
1/17/81,4.96,0.7,6,11.2,3.3,0,4.74
1/18/81,0,1,5,8.9,-0.4,1.02,5.16
1/19/81,0,-3.4,3.3,10,-1.6,0,6.74
1/20/81,0,-3.4,5,13.4,-0.9,0.05,9.15
1/21/81,0,-0.1,7.7,15.6,0,0.57,11.56
1/22/81,0,-2.8,6.4,15.6,-2.9,0.57,13.17
1/23/81,0,-3.3,7.3,17.8,-4.5,0.92,16.15
1/24/81,0,-1.7,8.3,18.3,-3.5,1.4,16.16
1/25/81,0,-0.6,8.9,18.3,-3.9,1.27,16.89
1/26/81,0,-0.6,7.7,16.1,-4.2,1.51,14.16
1/27/81,0,-2.3,6.9,16.1,-4.6,0.97,13.71
1/28/81,0,0.9,9.5,18.2,-5.3,2.5,17.1
1/29/81,0,1,9.6,18.2,-2.2,1.53,15.82
1/30/81,0,0.9,9.3,17.7,-2.5,1.48,15.42
1/31/81,0,1.9,11.2,20.4,-3.4,2.55,20.11
2/1/81,0,-6.7,2.2,11.1,-7.8,0.03,9.92
2/2/81,0,-6.7,3,12.8,-9,0.81,11.67
2/3/81,0,-6.1,5,16.1,-8.3,1.03,15.03
2/4/81,0,-4.4,5.8,16.1,-7.4,1.34,14.97
2/5/81,0,-2.3,6.9,16.1,-5.6,1.4,14.4
2/6/81,0,-2.4,7.7,17.7,-7.2,1.8,16.93
2/7/81,0,-2.3,8,18.2,-6.4,1.77,17.17
2/8/81,0,-2.2,8.3,18.9,-7.4,1.59,18.3
2/9/81,2.9,0.6,9.2,17.8,-2.9,0.9,16.78
2/10/81,8.35,5.9,8.5,11.1,5.5,0.66,3.76
2/11/81,0,-0.1,7.7,15.6,-2.2,1.39,12.05
2/12/81,0,-0.6,8.3,17.2,-3.7,1.47,16
2/13/81,0,1,10.5,20,-1.7,1.53,17.98
2/14/81,0,2.8,12.5,22.2,-4,2.89,22.29
2/15/81,0,2.8,11.5,20.1,-3.2,2.53,19.08
2/16/81,0,4.3,13.2,22.2,-2,3.12,21.76
2/17/81,0,4.2,14.9,25.5,-1.3,2.89,27.58
2/18/81,0,1.8,13.4,25,-0.8,1.98,26.33
2/19/81,0,2.3,14.5,26.6,-0.5,1.61,29.38
2/20/81,0,1.8,14.8,27.8,-2.4,2,32.39
2/21/81,0,1.8,14.2,26.7,-4,3.06,30.1
2/22/81,0,-2.2,8,18.3,-10.6,2.6,18.58
2/23/81,0,-0.7,9.9,20.6,-10.2,3.01,21.45
2/24/81,0,1,12.7,24.4,-9.4,3.65,27.4
2/25/81,0,1.1,13.6,26,-7.7,3.57,30.09
2/26/81,0.43,6.5,15.7,24.9,-0.3,3.63,25.9
2/27/81,0,7.7,13,18.3,2.7,3.02,13.92
2/28/81,0,8.1,12.9,17.7,4.6,2.09,12.15
3/1/81,7.12,4.4,11.4,18.4,5.1,0.42,12.7
3/2/81,1.16,7.6,13.8,20,4,1.79,16.2
3/3/81,11.48,3.8,8.4,13,5.1,0.72,6.51
3/4/81,8.79,5.4,9.1,12.8,2.9,0.96,7.7
3/5/81,0,3.8,9.1,14.4,1.1,1.45,10.42
3/6/81,2.51,3.8,10.8,17.7,1.1,1.7,14.42
3/7/81,0,2.1,6.4,10.6,1.1,0.82,6.55
3/8/81,0,2.6,8,13.3,0,1.49,9.48
3/9/81,0,-0.5,9.2,18.9,-0.4,0.49,16.49
3/10/81,0,3.2,12.1,21,0.5,1.51,19.37
3/11/81,0,5.9,12.9,19.9,2.4,1.85,16.95
3/12/81,0,4.9,13,21.1,2.5,1.46,19.13
3/13/81,2.7,6.3,13.2,20,2.6,2.29,16.92
3/14/81,0,4.8,12.4,20,0.8,1.64,17.49
3/15/81,0,-0.6,7.5,15.7,-2.1,0.45,12.59
3/16/81,0,-0.5,9.5,19.4,-1.8,0.79,17.75
3/17/81,0,3.3,13,22.8,-0.9,2.41,22.35
3/18/81,0,1.7,11.9,22.2,-6.6,1.78,23.23
